DATAFLOW,LAST UPDATE,freq,unit,tra_meas,rep_airp,schedule,tra_cov,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,GRAZ airport,Total,Total transport,2023-10,71546,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,GRAZ airport,Total,Total transport,2023-11,61573,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,GRAZ airport,Total,Total transport,2023-12,50926,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,GRAZ airport,Total,Total transport,2024-01,40805,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,GRAZ airport,Total,Total transport,2024-02,49337,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,GRAZ airport,Total,Total transport,2024-03,60107,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,GRAZ airport,Total,Total transport,2024-04,63295,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,GRAZ airport,Total,Total transport,2024-05,74866,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,GRAZ airport,Total,Total transport,2024-06,86081,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,GRAZ airport,Total,Total transport,2024-07,90739,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,GRAZ airport,Total,Total transport,2024-08,90146,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2023-01,140966,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2023-02,154768,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2023-03,157279,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2023-04,45962,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2023-05,23040,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2023-06,34596,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2023-07,38330,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2023-08,37127,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2023-09,34019,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2023-10,19541,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2023-11,17838,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2023-12,92615,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2024-01,147830,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2024-02,169571,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2024-03,180929,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2024-04,25297,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2024-05,16873,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2024-06,25903,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2024-07,27382,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,International transport,2024-08,27091,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2023-01,9165,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2023-02,9623,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2023-03,11173,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2023-04,8431,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2023-05,8285,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2023-06,9858,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2023-07,7988,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2023-08,7890,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2023-09,10899,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2023-10,10954,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2023-11,10186,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2023-12,12044,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2024-01,11074,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2024-02,10763,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2024-03,9622,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2024-04,8675,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2024-05,7313,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2024-06,7747,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2024-07,7242,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,National transport,2024-08,7973,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2023-01,150131,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2023-02,164391,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2023-03,168452,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2023-04,54393,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2023-05,31325,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2023-06,44454,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2023-07,46318,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,INNSBRUCK airport,Total,Total transport,2023-08,45017,
